           1 0.32
           2 0.64
           4 1.26
           8 2.46
          16 4.78
          32 9.39
          64 17.92
         128 33.27
         256 58.80
         512 101.58
        1024 161.93
        2048 227.36
        4096 286.47
        8192 305.10
       16384 285.31
       32768 285.54
       65536 284.68
      131072 284.81
      262144 287.43
      524288 289.78
     1048576 289.73
     2097152 289.73
     4194304 288.21
     8388608 286.05
